Role,Year,Type,text
"Senior Vice President, Citi Leadership and Performance Solutions, Learning Analytics, Assessments, and Operations",2022-2023,Leadership,"Lead Leadership Development assessments, data analytics and operations for programs delivered to executives and managers across all business areas and regions. Accountable for thought leadership, advisory support, strategic planning, capacity planning, scheduling, and learning effectiveness. Provide for the establishment and use of assessments across Citi Learning globally. "
"Senior Vice President, Citi Leadership and Performance Solutions, Learning Analytics, Assessments, and Operations",2022-2023,Leadership,Increased new manager participation in onboarding programs from 15% to 50% resulting in improved performance.
"Senior Vice President, Citi Leadership and Performance Solutions, Learning Analytics, Assessments, and Operations",2022-2023,,Completely reconfigured learning delivery to maintain participation through the pandemic and new work arrangements.
"Vice President, Citi Leadership and Performance Solutions, Learning Operations",2013 - 2022,Leadership,"Led Learning Operations for global leadership programs deployed in North America. Accountable for strategic planning, capacity planning, scheduling, Learning Management System (LMS) operation and end-to-end program execution for in-person and virtual classroom programs. Collaborate with Learning Advisors, regions, and others to design and implement approaches for audience selection, learner communications, and reporting/analytics. "
"Senior Vice President, Citi Learning Consumer North America",2012,Leadership,"Conducted Hogan Personality Assessment debrief and interpretation sessions. Interpreted personality indicators,  explained the findings, and discussed development opportunities with senior leaders."
"Senior Vice President, Citi Learning Consumer North America",2012,Training Management,Directed the enhancement of new hire curricula across multiple functions and businesses to improve onboarding efficiency and reduce days in training by up to 25% while continuing to maintain and improve customer satisfaction.
"Senior Vice President, Citi Learning Consumer North America",2012,Training Management,Progressively improved customer satisfaction measures of new hires and tenured call center associates from x to x.
"Senior Vice President, Citi Learning Consumer North America",2012,Leadership,"Engaged senior business leaders to plan, coordinate, and execute the Global Leadership and Professional Development program for managers in their organizations. Met frequently to  share updates to the curriculum, eligibility profiles,  identify annual goals for  attendance, provide input on the number and location of classes, report progress, resolve issues, and provide feedback to the program. Consistently met or exceeded annual goals in five organizations with over 2,500 managers"
"Senior Vice President, Citi Learning Consumer North America",2011,Training Management,"Supported the implementation of the training for a major a culture change programs for over 30,000 employees."
"Senior Vice President, Citi Learning Consumer North America",2010,Training Management,Improved employee performance by $2MM annually by implementing a structured performance improvement and coaching program.
"Senior Vice President, Citi Learning Consumer North America",2010,Leadership,Served as a Business Leadership Program executive coach. Helped five senior high potential leaders identify strengths and opportunities for growth through the use of multi-rater feedback and targeted follow up interviews.
"Senior Vice President, Citi Learning Consumer North America",2010,Training Management,"Planned, designed, developed and implemented learning and development programs using web-based and virtual classroom training to make learning more accessible, flexible, personalized, and cost effective to meet the dynamic and changing needs of domestic, offshore, and home office customer service operations. Add audience size."
,2010,Technology,Drove the introduction of Knowlagent training scheduling software. Later it was piloted with positive results by managing call center time shrinkage.
"Senior Vice President, Citi Learning Consumer North America",2009,Training Management,Designed and implemented new hire and continuation training programs to support deployment and operation of employee and vendor supplied work at home operations.
"Senior Vice President, Citi Learning Consumer North America",2009,Training Management,Saved over $1MM annually by restructuring continuing education and product training while maintaining effectiveness through the use of virtual classroom and eLearning delivery approaches.
"Senior Vice President, Citi Learning Consumer North America",2009,Leadership,Joined the faculty for Choosing to Lead; a nomination only leadership development course targeted for high potential leaders. Facilated X classes over X years.
"Director, Citi Cards Learning & Performance Solutions Group",2006,Vendor Mgmt,"Led the identification and implementation of improvements to our online procedures and help systems. Actively contributed to the definition of requirements, request for proposal (RFP), and vendor evaluation of five Fortune 100 company products."
"Director, Citi Cards Learning & Performance Solutions Group",2006,Project Management,"Delivered training to support the on boarding of international call centers operated by outsourcing vendors. Established a team to support ongoing coordination, assistance, and training evaluation."
"Director, Citi Cards Learning & Performance Solutions Group",2006,Project Management,"Managed the planning and execution of training for a multiyear enhancement to credit card customer service applications. 

"
"Director, Citi Cards Learning & Performance Solutions Group",2006,Project Management,"Managed training for the largest private-label credit card system conversion in the industry including 8,100 participants, over 450 classes, and more than 70 trainers."
"Director, Citi Cards Learning & Performance Solutions Group",2006,Project Management,"Managed training for a corporate initiative to create a more customer-center workflow and web sites to bridge standalone systems in the business units; 37,000 associates were trained. "
"Director, Citi Cards Learning & Performance Solutions Group",2006,Training Management,"Actively participated in a job evaluation review of the training organization. Created standard roles, job levels, and position descriptions. "
"Director, Citi Cards Learning & Performance Solutions Group",2006,Training Management,Reorganized the Training Delivery and Performance Support organization in to a geographic regional model with dedicated call center managers to provide greater focus on local trainer performance and administration.
"Director, Citi Cards Learning & Performance Solutions Group",2006,Leadership,"Managed the Core Leadership Development training program for Citi Cards Operations. Collaborated with senior leaders to set goals, develop schedules, and encourage enrollments, and attendance. Recruited and developed faculty to increase bench strength."
"Director, Citi Cards Learning & Performance Solutions Group",2006,Leadership,"Designed, developed, and implemented a scenario-based knowledge evaluation for the Exercising Influence leadership development course."
"Director, Citi Cards Learning & Performance Solutions Group",2006,Instructional Design,Converted instructor-led Foundations of Profit and Loss to a web-based eLearning course. Provided more flexible and cost effective training delivery with a net savings of over $50M per year.
"Director, Citi Cards Learning & Performance Solutions Group",2006,Training Management,Managed the first training hosted and deployed by the Citi Global Learning Management System. Marketed the use of the system and course subscriptions. Negotiated new contracts for eLearning subscriptions and Microsoft Live Meeting reducing the cost per user.
"Director, Citi Cards Learning & Performance Solutions Group",2006,Leadership,Facilitated break out meetings for the 2007 Citi Franchise Forum for the top 1% of the senior leaders in Citigroup. Led table activities designed to brainstorm opportunities to build a more customer centric company.
"Director, Citi Cards Learning & Performance Solutions Group",2006,Leadership,"Managed the procurement process for the acquisition and testing of voice recognition call simulation software including development of requirements, request for proposal, statement of work, vulnerability assessment, and payments of consulting and software licensing fees."
"Senior Vice President, Citi Learning Consumer North America",2006,Leadership,Consistently achieved or exceeded manager leadership development training goals each year.  
