ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SOU-AKL,SOU,AKL,O,40,West Bound,33,33,UK,New Zealand,2811.127882,2
SOU-AKL,SOU,AKL,O,40,West Bound,45,,UK,New Zealand,5171.396346,2
SOU-AKL,SOU,AKL,B,40,West Bound,42,,UK,New Zealand,6343.673826,2
SOU-BNE,SOU,BNE,B,47,West Bound,36,35,UK,Australia - Queensland,9784.513217,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,57,,UK,USA - West Coast,4182.892388,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,15,,UK,USA - West Coast,3520.268517,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,4,,UK,USA - West Coast,,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,30,,UK,USA - West Coast,4446.411278,2
SOU-SOU,SOU,SOU,I,99,West Bound,74,73,UK,UK,11110.10353,2
SOU-SOU,SOU,SOU,B,99,West Bound,69,48,UK,UK,16925.32856,2
SOU-SOU,SOU,SOU,B,99,West Bound,80,15,UK,UK,16168.11188,2
SOU-SOU,SOU,SOU,S,99,West Bound,53,,UK,UK,723245.9384,2
SOU-BNE,SOU,BNE,B,47,West Bound,33,,UK,Australia - Queensland,6306.255232,2
SOU-BNE,SOU,BNE,B,47,West Bound,45,,UK,Australia - Queensland,6358.737606,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,38,13,UK,USA - West Coast,2084.107475,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,33,,UK,USA - West Coast,4016.628446,1
SOU-SYD,SOU,SYD,B,44,West Bound,54,,UK,Australia - New South Wales,7191.734625,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,26,,UK,USA - West Coast,2777.379694,2
SOU-SYD,SOU,SYD,I,44,West Bound,35,17,UK,Australia - New South Wales,2820.446568,2
SOU-SOU,SOU,SOU,O,99,West Bound,91,73,UK,UK,11846.78671,2
SOU-SYD,SOU,SYD,B,44,West Bound,11,,UK,Australia - New South Wales,8645.219772,2
SOU-SYD,SOU,SYD,O,44,West Bound,49,47,UK,Australia - New South Wales,10873.46681,1
SFO-SYD,SFO,SYD,B,20,South Pacific,55,54,USA - West Coast,Australia - New South Wales,3042.097569,2
SFO-SYD,SFO,SYD,B,20,South Pacific,53,,USA - West Coast,Australia - New South Wales,3589.360165,2
SOU-SOU,SOU,SOU,B,99,West Bound,18,15,UK,UK,24820.11159,1
SOU-SOU,SOU,SOU,B,99,West Bound,12,,UK,UK,18087.86331,2
SFO-SYD,SFO,SYD,I,20,South Pacific,12,,USA - West Coast,Australia - New South Wales,2948.071104,2
SFO-SYD,SFO,SYD,B,20,South Pacific,51,20,USA - West Coast,Australia - New South Wales,3881.512664,2
SFO-SYD,SFO,SYD,I,20,South Pacific,48,,USA - West Coast,Australia - New South Wales,2894.789411,2
SOU-SOU,SOU,SOU,I,99,West Bound,49,15,UK,UK,21345.96264,1
AKL-SYD,AKL,SYD,I,4,New Zealand,22,,New Zealand,Australia - New South Wales,263.8927413,2
AKL-SYD,AKL,SYD,I,4,New Zealand,21,20,New Zealand,Australia - New South Wales,391.7422979,1
AKL-SYD,AKL,SYD,B,4,New Zealand,17,16,New Zealand,Australia - New South Wales,489.909066,2
SOU-SYD,SOU,SYD,B,44,West Bound,37,,UK,Australia - New South Wales,7791.809193,2
SOU-SYD,SOU,SYD,B,44,West Bound,36,,UK,Australia - New South Wales,3669.899577,2
SOU-SYD,SOU,SYD,I,44,West Bound,31,,UK,Australia - New South Wales,4347.062875,1
SOU-SYD,SOU,SYD,B,44,West Bound,44,,UK,Australia - New South Wales,7005.002109,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,15,15,Australia - New South Wales,Australia - Queensland,289.3894059,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,63,,Australia - New South Wales,China - Southern,2369.615783,2
SFO-SYD,SFO,SYD,B,20,South Pacific,55,,USA - West Coast,Australia - New South Wales,3580.11178,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,12,,Australia - New South Wales,China - Southern,2819.634041,2
SFO-SYD,SFO,SYD,B,20,South Pacific,33,,USA - West Coast,Australia - New South Wales,3781.678078,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,49,,Australia - New South Wales,China - Southern,3317.439192,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,49,,Australia - New South Wales,China - Southern,3096.457805,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,60,,Australia - New South Wales,Singapore,4506.541699,2
AKL-SYD,AKL,SYD,B,4,New Zealand,21,,New Zealand,Australia - New South Wales,499.2540525,2
AKL-SYD,AKL,SYD,O,4,New Zealand,25,,New Zealand,Australia - New South Wales,470.1386585,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,11,,Australia - New South Wales,Singapore,4784.819009,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,25,24,Australia - New South Wales,UK,10499.55871,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,15,13,Australia - New South Wales,China - Southern,2592.032601,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,14,,Australia - New South Wales,China - Southern,1655.292686,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,26,25,Australia - New South Wales,UK,8059.583431,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,30,,Australia - New South Wales,China - Southern,1485.370128,2
BNE-SOU,BNE,SOU,B,52,Southeast Asia,38,15,Australia - Queensland,UK,4094.917921,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,28,27,Australia - New South Wales,Singapore,4528.447789,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,38,,Australia - New South Wales,UK,3992.892899,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,44,,China - Southern,UAE,2557.412682,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,57,,China - Southern,UAE,2821.051165,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,36,35,Australia - New South Wales,UK,6512.210522,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,15,,Australia - Queensland,China - Southern,1243.408576,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,102,102,China - Southern,UK,5128.991961,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,41,,China - Southern,UK,6724.909695,2
BNE-SOU,BNE,SOU,B,52,Southeast Asia,38,,Australia - Queensland,UK,6880.0132,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,74,,China - Southern,UAE,2286.635555,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,37,,Singapore,UK,3870.250468,2
SIN-DXB,SIN,DXB,B,11,Southern Asia,46,,Singapore,UAE,1747.496532,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,31,30,Singapore,UK,4465.483001,2
DXB-SOU,DXB,SOU,B,19,Middle East,17,,UAE,UK,2121.03332,2
SOU-AKL,SOU,AKL,I,40,West Bound,55,55,UK,New Zealand,4505.003945,2
SOU-AKL,SOU,AKL,O,40,West Bound,38,,UK,New Zealand,5290.704212,2
SOU-AKL,SOU,AKL,B,40,West Bound,49,,UK,New Zealand,6228.198637,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,59,58,UK,USA - West Coast,5033.678014,1
SOU-SFO,SOU,SFO,I,24,Panama Canal,37,,UK,USA - West Coast,2834.606566,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,24,UK,USA - West Coast,3581.074382,2
SOU-SOU,SOU,SOU,B,99,West Bound,94,,UK,UK,15880.34603,2
SOU-SOU,SOU,SOU,O,99,West Bound,63,20,UK,UK,12768.009,2
SOU-AKL,SOU,AKL,I,40,West Bound,60,,UK,New Zealand,4189.073257,2
SOU-SOU,SOU,SOU,B,99,West Bound,57,57,UK,UK,14636.33054,2
SOU-BNE,SOU,BNE,I,47,West Bound,30,22,UK,Australia - Queensland,4546.883728,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,34,,UK,USA - West Coast,4373.49034,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,33,,UK,USA - West Coast,1487.900096,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,33,,UK,USA - West Coast,5813.102916,1
SOU-SYD,SOU,SYD,I,44,West Bound,35,,UK,Australia - New South Wales,2251.176525,2
SOU-AKL,SOU,AKL,I,40,West Bound,52,,UK,New Zealand,3710.546076,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,10,20,UK,USA - West Coast,4478.967426,1
SOU-SYD,SOU,SYD,O,44,West Bound,47,41,UK,Australia - New South Wales,8342.26243,1
