"","y","x1","x2","x3"
"1",7916,1661,87,789
"2",6886,2276,82,856
"3",6248,2004,70,1052
"4",5845,1809,106,1100
"5",5917,1867,101,1216
"6",5144,1825,169,1031
"7",4526,1849,197,929
"8",4206,1644,141,864
"9",4088,1772,149,818
"10",3945,1827,139,741
"11",3608,1610,112,796
"12",3697,1686,153,832
"13",3471,1772,176,824
"14",3486,1721,122,742
"15",3448,1711,116,837
"16",3577,1896,133,755
"17",3133,1558,97,709
"18",3411,1306,81,744
"19",3297,1375,82,809
"20",3037,1227,113,780
"21",2946,1694,100,732
"22",3321,1300,113,710
"23",3840,3083,99,646
"24",3532,1633,91,636
"25",4264,2195,84,728
"26",3207,2066,93,842
"27",2915,1463,86,751
"28",2669,1295,81,765
"29",2441,1359,96,744
"30",2183,1203,74,704
"31",2006,1062,74,565
"32",2167,1136,81,609
"33",2260,1100,105,760
"34",2205,1074,109,785
"35",2200,1207,112,722
"36",2187,1102,142,902
"37",2434,1439,186,656
"38",2403,1346,91,702
"39",3186,1424,106,712
"40",2600,1373,107,771
"41",2445,1315,97,740
"42",2207,1240,94,700
"43",2355,1429,101,839
"44",2589,1362,78,784
"45",2761,1317,51,582
"46",33176,1283,64,657
"47",15680,1281,63,697
"48",7791,1321,80,709
"49",5319,1164,57,714
"50",4223,1248,69,737
"51",3577,1195,68,677
"52",3608,8710,54,610
