,cluster,name,country.etc,pop
0,0,Moscow,Russia,10472629
1,1,Karachi,Pakistan,11969284
2,2,Hargeysa,Somalia,500710
3,3,'Adale,Somalia,5492
4,4,'Afif,Saudi Arabia,41731
5,5,Dubai,United Arab Emirates,1182439
6,6,Addis Abeba,Ethiopia,2823167
7,7,ad-Dammam,Saudi Arabia,793553
8,8,Jibuti,Djibouti,633884
9,9,Bosaso,Somalia,75772
10,10,San'a,Yemen,1921589
11,11,Habban,Yemen,22424
12,12,ad-Damir,Sudan,109740
13,13,Riyadh,Saudi Arabia,4328067
14,14,'Ayn Qazzam,Algeria,66455
15,15,'Ayn Salah,Algeria,51599
16,16,'Ayn as-Safra,Algeria,66225
17,17,'Ayun,Mauritania,22521
18,18,'Elbur,Somalia,9211
19,19,'Eldere,Somalia,27093
20,20,'Erigabo,Somalia,34530
21,21,Jiddah,Saudi Arabia,2934584
22,22,Qaqortoq,Greenland,3269
23,23,Upernavik,Greenland,1098
24,24,Ilulissat,Greenland,4352
25,25,Lagos,Nigeria,9020089
26,26,Abadeh,Iran,58138
27,27,Belem,Brazil,1436287
28,28,Sao Paulo,Brazil,10059502
29,29,Abakan,Russia,168024
30,30,Abalak,Niger,13873
31,31,Abancay,Peru,56262
32,32,Temaraia,Kiribati,2639
33,33,Santa Cruz,Bolivia,1404609
34,34,Tokyo,Japan,8372440
35,35,Mexico City,Mexico,8659409
36,36,Qaragandy,Kazakhstan,409151
37,37,Abaza,Russia,18112
38,38,Vancouver,Canada,1839314
39,39,Abeche,Chad,75855
40,40,Abidjan,Ivory Coast,3796677
41,41,Jaya Pura,Indonesia,137808
42,42,Hamis Musayt,Saudi Arabia,402940
43,43,Abilene,USA,113888
44,44,Cairo,Egypt,7836243
45,45,Kingston,Jamaica,585300
46,46,Salvador,Brazil,2762758
47,47,Havanna,Cuba,2163132
48,48,Santo Domingo,Dominican Republic,2253437
49,49,Umm Durman,Sudan,2970099
50,50,Abu Dhabi,United Arab Emirates,619316
51,51,al-Ubayyid,Sudan,410941
52,52,Dayr az-Zawr,Syria,252588
53,53,ad-Dillinj,Sudan,37763
54,54,Manila,Philippines,10546511
55,55,Dakar,Senegal,2406598
56,56,Imperatriz,Brazil,218139
57,57,Merida,Mexico,728271
58,58,Fortaleza,Brazil,2349632
59,59,Caracas,Venezuela,1808937
60,60,Buenos Aires,Argentina,11595183
61,61,El Alto,Bolivia,872211
62,62,Nicosia,Cyprus,202488
63,63,Seoul,Korea South,10409345
64,64,Achinsk,Russia,117294
65,65,Mamoudzou,Mayotte,58089
66,66,Toronto,Canada,4670783
67,67,Monclova,Mexico,196251
68,68,Adamstown,Pitcairn,51
69,69,Las Palmas,Canary Islands,381989
70,70,Nara,Mali,29102
71,71,Adelaide,Australia,1076969
72,72,Durban,South Africa,3244028
73,73,Aden,Yemen,625361
74,74,Jakarta,Indonesia,8556798
75,75,Arua,Uganda,59195
76,76,San Juan,Puerto Rico,417154
77,77,Chihuahua,Mexico,718551
78,78,Obregon,Mexico,259506
79,79,Adrar,Algeria,93487
80,80,al-Junaynah,Sudan,170618
81,81,Kili,Marshall Islands,883
82,82,Cheju,Korea South,338490
83,83,Faaa,French Polynesia,29740
84,84,Apia,Samoa,40805
85,85,Mogadishu,Somalia,2723378
86,86,Kismayo,Somalia,245636
87,87,Serra Talhada,Brazil,51511
88,88,Agadez,Niger,91600
89,89,Agadir,Morocco,718498
90,90,Tamuning,Guam,11328
91,91,Jimma,Ethiopia,132360
92,92,Male,Maldives,87154
93,93,Nogales,Mexico,192161
94,94,Brasilia,Brazil,2260541
95,95,Manihi,French Polynesia,802
96,96,Nairobi,Kenya,2864667
97,97,Auckland,New Zealand,429918
98,98,Bombay,India,12883645
99,99,Mata'utu,Wallis and Futuna,1310
100,100,Waspan,Nicaragua,6497
101,101,Ahumada,Mexico,9476
102,102,Ahwar,Yemen,6328
103,103,Dili,East Timor,163305
104,104,Wotje,Marshall Islands,855
105,105,Cochabamba,Bolivia,932871
106,106,Koror,Palau,11458
107,107,Aitape,Papua New Guinea,5667
108,108,Aizawl,India,274875
109,109,Cagliari,Italy,159169
110,110,Ajdabiya,Libya,140558
111,111,Rita,Marshall Islands,21270
112,112,Almaty,Kazakhstan,1216378
113,113,Shu,Kazakhstan,39748
114,114,Shiraz,Iran,1279140
115,115,Nukus,Uzbekistan,235306
116,116,Aketi,Congo Democratic Republic,35698
117,117,Volgograd,Russia,1010221
118,118,Yekaterinburg,Russia,1285879
119,119,Miyaly,Kazakhstan,6242
120,120,Inuvik,Canada,3055
121,121,Akmechet,Kazakhstan,167658
122,122,Reykjavik,Iceland,114576
123,123,Torshavn,Faroe Islands,13313
124,124,Orenburg,Russia,550552
125,125,Aksu,China,362266
126,126,Pavlodar,Kazakhstan,329756
127,127,Aksu,Kazakhstan,5455
128,128,Oskemen,Kazakhstan,319854
129,129,Aktau,Kazakhstan,166478
130,130,Aktogay,Kazakhstan,3662
131,131,Aktogay,Kazakhstan,4930
132,132,Akyab,Myanmar,181172
133,133,Karkaralinsk,Kazakhstan,8022
134,134,Al Hoceima,Morocco,56282
135,135,Rusu,Mauritania,64364
136,136,San Jose,USA,897883
137,137,Chicoutimi-Jonquiere,Canada,110582
138,138,Albany,Australia,24338
139,139,Portland,USA,542751
140,140,Albany,USA,75510
141,141,New York,USA,8124427
142,142,Snug Corner,Bahamas,407
143,143,Paramaribo,Suriname,224925
144,144,Port Louis,Mauritius,156760
145,145,Albuquerque,USA,494962
146,146,Albury,Australia,109273
147,147,Palma,Spain,381285
148,148,Aldan,Russia,24326
149,149,Alegrete,Brazil,78077
150,150,Berezniki,Russia,165998
151,151,Santarem,Brazil,189792
152,152,Alexandria,USA,44933
153,153,Aleysk,Russia,27851
154,154,Orsk,Russia,245488
155,155,Los Angeles,USA,3911500
156,156,Alice Springs,Australia,26178
157,157,Alice Town,Bahamas,950
158,158,Jiagedagi,China,136811
159,159,Conakry,Guinea,1970382
160,160,Alindao,Central African Republic,14296
161,161,Fort-de-France,Martinique,89233
162,162,Rangoon,Myanmar,4572948
163,163,Dallas,USA,1216543
164,164,Monterrey,Mexico,1123777
165,165,Almenara,Brazil,29633
166,166,Alofi,Niue,627
167,167,Singapore,Singapore,3601745
168,168,Alotau,Papua New Guinea,12540
169,169,Alta Floresta,Brazil,41499
170,170,Cordoba,Argentina,1442911
171,171,Altaj,Mongolia,18908
172,172,Altamira,Brazil,72674
173,173,Tampa,USA,328578
174,174,Altay,China,141575
175,175,Altoona,USA,46442
176,176,Sao Luis,Brazil,935083
177,177,Alyangula,Australia,1286
178,178,Am Timan,Chad,29533
179,179,Amahai,Indonesia,48255
180,180,Hao,French Polynesia,1211
181,181,Amarillo,USA,183295
182,182,Mutuaura,French Polynesia,286
183,183,Colombo,Sri Lanka,649496
184,184,Antananarivo,Madagascar,1463754
185,185,Ambanja,Madagascar,31399
186,186,Mahajanga,Madagascar,158841
187,187,Toamasina,Madagascar,212544
188,188,Ambikapur,India,74578
189,189,Ambilobe,Madagascar,15007
190,190,Ambovombe,Madagascar,68698
191,191,Ambon,Indonesia,367509
192,192,Ambunti,Papua New Guinea,2137
193,193,Des Moines,USA,192050
194,194,Bangkok,Thailand,4935988
195,195,Barabai,Indonesia,64249
196,196,Amuri,Cook Islands,278
197,197,Komsomolsk-na-Amure,Russia,273203
198,198,Fakarava,French Polynesia,879
199,199,El Tigre,Venezuela,155452
200,200,Iraklion,Greece,138749
201,201,Srinagar,India,996400
202,202,Goiania,Brazil,1188787
203,203,Farah,Afghanistan,44741
204,204,Rairua,French Polynesia,485
205,205,Vaitape,French Polynesia,4802
206,206,Shanghai,China,15017783
207,207,Anchorage,USA,279428
208,208,Santiago,Chile,4893495
209,209,Vallenar,Chile,45255
210,210,Antalaha,Madagascar,34979
211,211,Indianapolis,USA,771725
212,212,Andevoranto,Madagascar,10773
213,213,Nassau,Bahamas,231519
214,214,Ebeye,Marshall Islands,9891
215,215,Irkutsk,Russia,584442
216,216,Angoche,Mozambique,76412
217,217,Wewak,Papua New Guinea,17870
218,218,Angra,Azores,11975
