"","abl","access","achiev","across","act","action","actual","address","administr","advanc","afford","ago","agre","ahead","allow","almost","alreadi","also","alway","america","american","announc","anoth","anyon","arent","around","ask","averag","away","back","bad","basic","begin","believ","benefit","best","better","big","bill","billion","bipartisan","bless","break","bring","budget","build","built","busi","buy","call","came","can","cant","care","caus","celebr","centuri","challeng","chanc","chang","child","children","choic","citi","citizen","class","clean","clear","close","colleg","come","commit","common","commonsens","communiti","compani","confid","congress","continu","cost","countri","courag","cours","creat","credit","crisi","cut","day","deal","decad","decis","defend","deficit","democrat","deserv","didnt","differ","direct","doesnt","dollar","done","dont","dream","earn","easi","easier","econom","economi","educ","effect","effort","elect","end","energi","enforc","enough","ensur","entir","equal","especi","even","ever","everi","everybodi","everyon","everyth","exampl","expand","face","fact","fair","faith","fall","famili","far","faster","feder","feel","fellow","fight","fill","final","financi","find","first","fix","focus","folk","forc","forward","fought","found","four","free","freedom","friend","full","fund","futur","generat","get","give","global","god","good","got","govern","great","greatest","grow","growth","half","happen","happi","hard","harder","hardwork","harm","health","heart","help","here","high","higher","hire","histor","histori","hit","hold","home","honor","hope","hour","hous","hundr","hurt","idea","ill","immigr","import","includ","incom","increas","incred","independ","industri","instead","insur","interest","invest","isnt","issu","ive","job","join","just","justic","keep","kid","kind","know","last","law","lead","leader","learn","least","leav","less","let","level","life","like","line","littl","live","local","long","longer","look","lost","lot","love","lower","made","major","make","mani","manufactur","market","matter","may","mean","meet","member","men","met","middl","might","militari","million","minimum","moment","money","month","move","much","must","nation","near","need","never","new","next","noth","now","number","offer","offic","often","old","one","open","opportun","order","other","owner","paid","parent","part","parti","pass","past","path","pay","peopl","percent","place","plan","play","polici","polit","possibl","power","presid","prevent","price","prioriti","privat","problem","program","progress","promis","prosper","protect","proud","provid","public","put","rais","rate","reach","real","realli","reason","rebuild","recent","recess","record","recov","recoveri","reduc","reform","refus","rememb","remind","repres","republican","requir","research","respons","rest","restor","retir","return","reward","right","rise","risk","road","rule","sacrific","safe","said","save","say","school","season","second","secur","see","seen","senat","send","sens","serious","serv","servic","set","share","shot","show","sign","simpl","sinc","singl","skill","small","someth","speak","special","spend","spirit","stand","start","state","stay","step","still","stop","stori","street","strengthen","strong","stronger","struggl","student","succeed","success","support","sure","system","take","taken","talk","tax","technolog","tell","thank","that","there","theyll","theyr","theyv","thing","think","thousand","threat","threaten","three","time","today","togeth","told","took","top","train","travel","treat","tri","troop","true","turn","two","unemploy","uniform","union","unit","use","valu","veteran","visit","vote","wage","want","war","washington","way","week","weekend","well","weve","what","whether","white","will","without","women","wont","word","work","worker","world","worst","year","yet","young","your","youv","name"
"1",1,1,0,0,4,1,0,0,2,0,1,0,1,0,1,0,1,0,0,4,8,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,1,0,1,2,0,0,0,0,0,3,0,1,0,2,0,2,0,4,0,0,2,1,1,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,2,3,1,0,1,0,0,6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,1,1,0,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,4,0,0,1,3,0,3,0,1,0,0,1,1,2,0,0,1,0,0,1,0,1,0,3,1,0,1,1,0,0,0,1,0,0,1,1,1,3,0,0,0,0,0,3,1,0,0,0,0,0,0,9,0,1,2,1,0,1,1,1,0,0,0,6,3,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,5,1,1,0,1,0,0,0,0,1,0,1,2,1,1,1,2,0,2,2,0,0,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,11,0,0,1,0,7,0,0,0,6,0,1,0,0,"Barack Obama"
"2",2,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,1,1,0,2,0,0,0,10,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,2,0,0,0,3,3,5,0,0,0,0,0,3,0,0,0,0,1,0,2,2,1,0,0,1,0,3,3,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,2,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,5,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,17,3,0,0,0,6,1,0,0,0,0,0,0,0,"Barack Obama"
"3",2,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,1,0,0,3,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,3,17,0,1,1,0,0,1,3,1,5,0,0,2,4,0,1,1,1,2,0,0,0,3,0,1,2,1,1,0,0,0,0,0,2,1,5,2,0,0,0,0,1,1,4,0,1,0,0,7,0,0,1,0,0,0,1,2,1,0,0,0,0,1,5,5,0,0,0,2,5,0,0,1,0,1,0,1,0,3,0,1,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,3,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,6,0,0,2,3,0,2,0,0,0,1,2,5,0,3,0,0,0,1,0,2,1,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,4,3,1,1,0,0,5,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,1,1,3,0,2,1,0,0,0,0,2,1,0,0,1,0,2,3,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,4,2,0,1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,0,1,0,0,4,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,2,0,4,0,9,0,1,1,0,3,0,1,0,2,0,0,0,0,"Barack Obama"
"4",0,0,1,1,1,2,0,0,2,2,3,0,0,1,1,0,1,1,0,1,7,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,3,0,2,0,4,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,2,2,0,0,2,3,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,5,4,1,0,0,0,0,1,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,2,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,2,0,0,0,0,0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,1,0,2,1,0,2,1,0,2,1,0,2,1,1,1,0,0,0,0,0,1,1,0,1,3,0,0,1,3,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,3,2,0,0,0,0,2,2,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,3,0,0,2,0,9,1,0,0,0,5,1,0,0,3,0,0,0,0,"Barack Obama"
"5",0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,4,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,2,0,0,5,1,0,2,0,1,0,0,1,1,3,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,2,0,2,0,6,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,6,0,1,0,0,0,0,3,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,2,1,0,3,0,0,0,3,0,2,1,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,5,0,2,0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,3,0,0,3,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,2,1,0,0,0,0,1,2,0,0,0,0,4,0,0,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,8,0,1,1,0,7,0,1,0,8,0,0,0,0,"Barack Obama"
"6",1,0,1,0,2,0,0,2,3,0,2,1,0,1,1,0,1,2,0,2,5,0,1,0,1,0,0,0,0,0,0,0,3,1,1,0,1,0,1,1,0,0,1,2,6,0,0,3,0,0,1,3,0,5,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,2,3,2,0,1,2,1,3,1,3,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,3,0,1,0,1,1,0,2,0,0,0,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,7,0,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,3,0,0,2,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,1,0,4,0,1,3,0,1,2,0,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,3,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,2,3,0,0,0,0,1,0,2,1,0,1,1,4,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,1,0,0,2,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,15,1,0,0,0,3,0,0,0,4,0,0,0,0,"Barack Obama"
"7",0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,8,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,3,0,1,0,3,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1,0,1,3,0,0,2,0,3,2,1,0,0,0,0,0,2,1,0,0,0,0,1,1,2,2,0,0,0,5,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,1,1,0,0,2,1,1,1,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,4,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,3,1,0,1,3,1,0,0,0,"Barack Obama"
"8",0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,2,3,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,3,1,10,0,0,2,0,0,1,1,0,3,0,0,0,1,0,8,0,0,0,0,0,2,2,0,1,2,1,1,0,0,1,1,0,1,1,5,1,0,0,2,1,1,1,3,0,1,0,0,2,0,0,1,0,0,0,3,0,2,1,0,1,0,0,4,1,0,0,0,3,4,0,0,1,0,0,0,0,2,6,0,0,0,0,1,1,0,1,0,0,3,1,0,1,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1,3,3,0,0,0,4,0,0,0,2,0,1,5,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,7,1,0,1,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,7,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,7,0,0,1,5,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,2,2,0,5,4,0,0,0,8,0,2,5,1,5,0,0,0,2,0,0,0,0,"Barack Obama"
"9",0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,3,0,1,0,0,0,0,0,1,1,1,1,0,0,4,0,1,1,1,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,3,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,4,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,2,0,0,1,0,0,0,4,0,0,0,0,3,1,2,0,0,0,0,0,0,"Donald J. Trump"
"10",1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,2,7,1,0,0,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,0,6,0,0,4,1,0,0,0,0,0,0,0,"Donald J. Trump"
