ticker,fund,type
LPBIX,BFA LifePath Fund 2025,Citi
BSPIX,BlackRock S&P 500 Index Fund,Citi
MASKX,BlackRock Russell 2000 Index Fund,Citi
BRMIX,BlackRock S&P 400 Mid Cap Index Fund,Citi
BRIXX,BlackRock Cash Fund: Treasury,Citi
VWEHX,High Yield Bond Fund,Citi
GOBIX,Brandywine Global Bond Fund,Citi
VEMBX,Emerging Market Bond Fund,Citi
C,Citigroup Common Stock Fund,Citi
VTINX,Vanguard Trgt Ret Inc Select,Accenture
VIPSX,PIMCO Stable Value Fund,Accenture
PTTAX,PIMCO Total Return Fund,Accenture
VIPSX,Vanguard Inflation Protected Securities,Accenture
VTV,Vanguard Value Index,Accenture
VGSLX,Vanguard Real Estate Index Fund,Accenture
FGCKX,Fidelity Contrafund Commingled Pool,Accenture
LUX,Capital New Perspective Fund,Accenture
SEED,ETF - Evolve Actively Managed Marijuana,ETF
MJ,ETF - Alternative Harvest,ETF
